Suburb,Rooms,Type,Price,Date,Regionname,Distance,CouncilArea
"Balwyn",2,"t",700000,"1/04/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",5,"h",2700000,"1/04/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",3,"h",2035000,"1/04/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",3,"u",955000,"1/04/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn",4,"h",1810000,"1/04/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Balwyn North",4,"h",1850000,"1/04/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Balwyn North",4,"h",2600000,"1/04/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Balwyn North",3,"h",1220000,"1/04/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Balwyn North",4,"h",2470000,"1/04/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Balwyn North",2,"u",800000,"1/04/2017","Southern Metropolitan",9.7,"Boroondara City Council"
"Bayswater North",4,"h",880000,"1/04/2017","Eastern Metropolitan",23.2,"Maroondah City Council"
"Beaumaris",4,"h",1285000,"1/04/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Beaumaris",2,"u",835000,"1/04/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Beaumaris",4,"h",1445000,"1/04/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Beaumaris",4,"h",1435000,"1/04/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Bellfield",3,"u",675000,"1/04/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Bentleigh",4,"t",1300000,"1/04/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",4,"t",1500000,"1/04/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh",3,"h",1340000,"1/04/2017","Southern Metropolitan",11.4,"Glen Eira City Council"
"Bentleigh East",3,"h",1400000,"1/04/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bentleigh East",2,"t",775000,"1/04/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bentleigh East",3,"t",920000,"1/04/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bentleigh East",2,"h",1220000,"1/04/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bentleigh East",2,"h",1130000,"1/04/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Bentleigh East",4,"h",1460000,"1/04/2017","Southern Metropolitan",13.8,"Glen Eira City Council"
"Black Rock",4,"h",3000000,"1/04/2017","Southern Metropolitan",17.3,"Bayside City Council"
"Blackburn",4,"h",1200000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn",4,"h",1410000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn",3,"h",1110000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn North",4,"h",960000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn North",5,"h",1090000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn South",3,"h",980000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn South",4,"h",1925000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Blackburn South",3,"u",710000,"1/04/2017","Eastern Metropolitan",13.4,"Whitehorse City Council"
"Bonbeach",4,"h",985000,"1/04/2017","South-Eastern Metropolitan",27,"Kingston City Council"
"Box Hill",2,"u",420000,"1/04/2017","Eastern Metropolitan",10.9,"Whitehorse City Council"
"Braybrook",3,"h",500500,"1/04/2017","Western Metropolitan",8.6,"Maribyrnong City Council"
"Braybrook",2,"h",490000,"1/04/2017","Western Metropolitan",8.6,"Maribyrnong City Council"
"Braybrook",2,"t",500000,"1/04/2017","Western Metropolitan",8.6,"Maribyrnong City Council"
"Brighton",4,"h",2250000,"1/04/2017","Southern Metropolitan",10.5,"Bayside City Council"
"Brighton East",3,"h",1958000,"1/04/2017","Southern Metropolitan",10.3,"Bayside City Council"
"Brighton East",4,"h",2137000,"1/04/2017","Southern Metropolitan",10.3,"Bayside City Council"
"Brighton East",4,"h",2975000,"1/04/2017","Southern Metropolitan",10.3,"Bayside City Council"
"Broadmeadows",3,"h",457000,"1/04/2017","Northern Metropolitan",14,"Hume City Council"
"Brunswick",2,"h",740000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",3,"h",900000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",4,"h",1250000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",2,"h",1225000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",3,"h",1120000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",2,"t",560000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",3,"h",1685000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick",2,"u",625000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick East",3,"h",1470000,"1/04/2017","Northern Metropolitan",4,"Moreland City Council"
"Brunswick East",2,"h",860000,"1/04/2017","Northern Metropolitan",4,"Moreland City Council"
"Brunswick West",3,"t",900000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick West",2,"u",398000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick West",2,"h",576000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick West",4,"h",1400000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Brunswick West",3,"h",850000,"1/04/2017","Northern Metropolitan",5.2,"Moreland City Council"
"Bulleen",4,"h",1150000,"1/04/2017","Eastern Metropolitan",10.8,"Manningham City Council"
"Bundoora",2,"t",525000,"1/04/2017","Northern Metropolitan",12.1,"Banyule City Council"
"Bundoora",4,"h",740000,"1/04/2017","Northern Metropolitan",12.1,"Banyule City Council"
"Bundoora",2,"u",340000,"1/04/2017","Northern Metropolitan",12.1,"Banyule City Council"
"Burwood",5,"h",1265000,"1/04/2017","Southern Metropolitan",10.4,"Monash City Council"
"Burwood",3,"h",1000000,"1/04/2017","Southern Metropolitan",10.4,"Monash City Council"
"Burwood East",4,"t",1460000,"1/04/2017","Eastern Metropolitan",14.7,"Whitehorse City Council"
"Burwood East",4,"t",1200000,"1/04/2017","Eastern Metropolitan",14.7,"Whitehorse City Council"
"Burwood East",4,"h",935000,"1/04/2017","Eastern Metropolitan",14.7,"Whitehorse City Council"
"Burwood East",3,"u",780000,"1/04/2017","Eastern Metropolitan",14.7,"Whitehorse City Council"
"Camberwell",2,"u",868000,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",3,"t",1375000,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",2,"h",1235000,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",3,"h",1510000,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",3,"h",1520000,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",2,"u",835000,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",2,"u",495000,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Camberwell",4,"h",2100500,"1/04/2017","Southern Metropolitan",7.7,"Boroondara City Council"
"Canterbury",5,"h",3300000,"1/04/2017","Southern Metropolitan",8.4,"Boroondara City Council"
"Carlton North",2,"h",1470000,"1/04/2017","Northern Metropolitan",3.5,"Melbourne City Council"
"Carlton North",3,"h",2410000,"1/04/2017","Northern Metropolitan",3.5,"Melbourne City Council"
"Carnegie",4,"h",1775000,"1/04/2017","Southern Metropolitan",10.1,"Glen Eira City Council"
"Carnegie",1,"u",295000,"1/04/2017","Southern Metropolitan",10.1,"Glen Eira City Council"
"Caroline Springs",4,"h",629000,"1/04/2017","Western Metropolitan",14.8,"Melton City Council"
"Caroline Springs",2,"t",406000,"1/04/2017","Western Metropolitan",14.8,"Melton City Council"
"Carrum",3,"h",825000,"1/04/2017","South-Eastern Metropolitan",31.2,"Kingston City Council"
"Carrum Downs",4,"h",581500,"1/04/2017","South-Eastern Metropolitan",34.9,"Frankston City Council"
"Caulfield East",3,"h",1400000,"1/04/2017","Southern Metropolitan",8.4,"Glen Eira City Council"
"Caulfield South",3,"h",1538000,"1/04/2017","Southern Metropolitan",8.7,"Glen Eira City Council"
"Chadstone",3,"h",1354000,"1/04/2017","Southern Metropolitan",11.7,"Monash City Council"
"Chelsea",3,"u",886000,"1/04/2017","South-Eastern Metropolitan",27,"Kingston City Council"
"Clayton",7,"h",4000000,"1/04/2017","South-Eastern Metropolitan",16.7,"Monash City Council"
"Clayton",4,"t",1010000,"1/04/2017","South-Eastern Metropolitan",16.7,"Monash City Council"
"Clayton",2,"t",697500,"1/04/2017","South-Eastern Metropolitan",16.7,"Monash City Council"
"Clayton South",3,"h",800000,"1/04/2017","South-Eastern Metropolitan",17.5,"Kingston City Council"
"Clifton Hill",3,"h",1805000,"1/04/2017","Northern Metropolitan",3.6,"Yarra City Council"
"Clifton Hill",3,"h",1400000,"1/04/2017","Northern Metropolitan",3.6,"Yarra City Council"
"Coburg",3,"h",1032500,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",3,"h",1070000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",3,"h",1005000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",2,"h",905000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",2,"u",412000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",1,"u",333000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",2,"h",797500,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg",2,"u",430000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg North",2,"t",490000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Coburg North",4,"h",960000,"1/04/2017","Northern Metropolitan",6.7,"Darebin City Council"
"Collingwood",2,"u",960000,"1/04/2017","Northern Metropolitan",2,"Yarra City Council"
"Craigieburn",3,"h",356500,"1/04/2017","Northern Metropolitan",20.6,"Hume City Council"
"Craigieburn",4,"h",580500,"1/04/2017","Northern Metropolitan",20.6,"Hume City Council"
"Craigieburn",3,"h",573000,"1/04/2017","Northern Metropolitan",20.6,"Hume City Council"
"Craigieburn",4,"h",475000,"1/04/2017","Northern Metropolitan",20.6,"Hume City Council"
"Craigieburn",3,"t",385000,"1/04/2017","Northern Metropolitan",20.6,"Hume City Council"
"Cranbourne North",3,"h",475000,"1/04/2017","South-Eastern Metropolitan",34.7,"Casey City Council"
"Croydon",3,"t",744000,"1/04/2017","Eastern Metropolitan",23,"Maroondah City Council"
"Croydon",3,"h",746000,"1/04/2017","Eastern Metropolitan",23,"Maroondah City Council"
"Croydon",3,"h",965000,"1/04/2017","Eastern Metropolitan",23,"Maroondah City Council"
"Dallas",3,"h",455500,"1/04/2017","Northern Metropolitan",14,"Hume City Council"
"Dandenong",3,"h",800000,"1/04/2017","South-Eastern Metropolitan",24.7,"Greater Dandenong City Council"
"Dandenong",3,"h",610000,"1/04/2017","South-Eastern Metropolitan",24.7,"Greater Dandenong City Council"
"Dandenong North",2,"u",307000,"1/04/2017","South-Eastern Metropolitan",24.7,"Greater Dandenong City Council"
"Deepdene",2,"h",1610000,"1/04/2017","Southern Metropolitan",7.9,"Boroondara City Council"
"Deer Park",5,"h",589000,"1/04/2017","Western Metropolitan",14.8,"Brimbank City Council"
"Deer Park",4,"h",603000,"1/04/2017","Western Metropolitan",14.8,"Brimbank City Council"
"Delahey",3,"h",335000,"1/04/2017","Western Metropolitan",18,"Brimbank City Council"
"Diamond Creek",4,"h",730000,"1/04/2017","Northern Victoria",21.8,"Nillumbik Shire Council"
"Dingley Village",4,"h",920000,"1/04/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Dingley Village",3,"h",770000,"1/04/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Dingley Village",4,"h",1140000,"1/04/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Dingley Village",4,"h",910000,"1/04/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Dingley Village",4,"h",883850,"1/04/2017","South-Eastern Metropolitan",22.2,"Kingston City Council"
"Doncaster",4,"h",1556000,"1/04/2017","Eastern Metropolitan",12.4,"Manningham City Council"
"Doncaster East",4,"h",1249000,"1/04/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",3,"t",950000,"1/04/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",3,"t",820000,"1/04/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Doncaster East",4,"h",1730000,"1/04/2017","Eastern Metropolitan",14.3,"Manningham City Council"
"Donvale",3,"h",1260000,"1/04/2017","Eastern Metropolitan",16.1,"Manningham City Council"
"Donvale",4,"h",1300000,"1/04/2017","Eastern Metropolitan",16.1,"Manningham City Council"
"Eaglemont",3,"h",1820000,"1/04/2017","Eastern Metropolitan",8.9,"Banyule City Council"
"East Melbourne",1,"u",675000,"1/04/2017","Northern Metropolitan",1.3,"Melbourne City Council"
"East Melbourne",4,"h",4150000,"1/04/2017","Northern Metropolitan",1.3,"Melbourne City Council"
"Edithvale",3,"h",1130000,"1/04/2017","South-Eastern Metropolitan",27,"Kingston City Council"
"Elsternwick",3,"t",1683000,"1/04/2017","Southern Metropolitan",7.2,"Glen Eira City Council"
"Elsternwick",3,"h",2250000,"1/04/2017","Southern Metropolitan",7.2,"Glen Eira City Council"
"Eltham",3,"h",840500,"1/04/2017","Eastern Metropolitan",18,"Banyule City Council"
"Eltham",3,"h",900000,"1/04/2017","Eastern Metropolitan",18,"Banyule City Council"
"Eltham",3,"h",837000,"1/04/2017","Eastern Metropolitan",18,"Banyule City Council"
"Eltham North",4,"h",1000000,"1/04/2017","Eastern Metropolitan",18,"Banyule City Council"
"Elwood",2,"u",800000,"1/04/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Elwood",2,"u",805000,"1/04/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Elwood",4,"h",2985000,"1/04/2017","Southern Metropolitan",7.2,"Port Phillip City Council"
"Endeavour Hills",4,"h",690000,"1/04/2017","South-Eastern Metropolitan",28.5,"Casey City Council"
"Epping",3,"h",497000,"1/04/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",3,"h",507500,"1/04/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Epping",5,"h",1010000,"1/04/2017","Northern Metropolitan",19.6,"Whittlesea City Council"
"Essendon",4,"h",1930000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",4,"h",1399000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"h",1512000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",4,"h",2000000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",3,"u",552000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon",2,"u",860000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Essendon North",4,"h",946000,"1/04/2017","Western Metropolitan",8.2,"Moonee Valley City Council"
"Essendon West",3,"h",1430000,"1/04/2017","Western Metropolitan",7.5,"Moonee Valley City Council"
"Fairfield",4,"h",1270000,"1/04/2017","Northern Metropolitan",5.7,"Darebin City Council"
"Fawkner",3,"h",635000,"1/04/2017","Northern Metropolitan",13.1,"Hume City Council"
"Fawkner",3,"h",630000,"1/04/2017","Northern Metropolitan",13.1,"Hume City Council"
"Fawkner",3,"h",705000,"1/04/2017","Northern Metropolitan",13.1,"Hume City Council"
"Fawkner",3,"t",625000,"1/04/2017","Northern Metropolitan",13.1,"Hume City Council"
"Ferntree Gully",3,"h",665508,"1/04/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Ferntree Gully",3,"h",691000,"1/04/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Ferntree Gully",4,"h",815000,"1/04/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Ferntree Gully",3,"h",730000,"1/04/2017","Eastern Metropolitan",24.8,"Knox City Council"
"Fitzroy",1,"u",720000,"1/04/2017","Northern Metropolitan",2.1,"Yarra City Council"
"Fitzroy North",3,"h",1890000,"1/04/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",3,"h",1454000,"1/04/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",4,"h",2061000,"1/04/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",3,"h",1310000,"1/04/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",2,"u",995000,"1/04/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",4,"h",3259000,"1/04/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Fitzroy North",2,"h",1325000,"1/04/2017","Northern Metropolitan",3.6,"Moreland City Council"
"Footscray",1,"u",331000,"1/04/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Footscray",3,"h",1000000,"1/04/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Footscray",2,"t",771000,"1/04/2017","Western Metropolitan",5.1,"Maribyrnong City Council"
"Forest Hill",3,"h",1260000,"1/04/2017","Eastern Metropolitan",15.4,"Whitehorse City Council"
"Frankston",3,"h",508000,"1/04/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Frankston",2,"h",501500,"1/04/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Frankston North",3,"h",450000,"1/04/2017","Eastern Victoria",36.9,"Frankston City Council"
"Frankston South",4,"h",351000,"1/04/2017","South-Eastern Metropolitan",38,"Frankston City Council"
"Gladstone Park",4,"h",650000,"1/04/2017","Western Metropolitan",12.9,"Hume City Council"
"Glen Iris",3,"h",3730000,"1/04/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",3,"h",1225000,"1/04/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Iris",4,"h",1500000,"1/04/2017","Southern Metropolitan",7.3,"Boroondara City Council"
"Glen Waverley",4,"t",1100080,"1/04/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"h",1520000,"1/04/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",7,"h",1716000,"1/04/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",5,"h",1100000,"1/04/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"h",1467000,"1/04/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",3,"h",1600000,"1/04/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glen Waverley",4,"h",1311000,"1/04/2017","Eastern Metropolitan",16.7,"Monash City Council"
"Glenroy",3,"t",582000,"1/04/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Gowanbrae",3,"h",536000,"1/04/2017","Western Metropolitan",12.9,"Moreland City Council"
"Gowanbrae",3,"h",696000,"1/04/2017","Western Metropolitan",12.9,"Moreland City Council"
"Greensborough",3,"h",757000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",4,"h",860000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",3,"h",768000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",4,"h",812000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",3,"h",782000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",3,"h",725000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",4,"h",680000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greensborough",3,"h",882000,"1/04/2017","Northern Metropolitan",16.1,"Banyule City Council"
"Greenvale",4,"h",632000,"1/04/2017","Northern Metropolitan",20.4,"Hume City Council"
"Hadfield",4,"h",812000,"1/04/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Hadfield",3,"h",837000,"1/04/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Hadfield",3,"h",473000,"1/04/2017","Northern Metropolitan",11.2,"Moreland City Council"
"Hampton",3,"h",2288500,"1/04/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",2,"u",750000,"1/04/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",3,"t",1510000,"1/04/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hampton",3,"h",1500000,"1/04/2017","Southern Metropolitan",13.8,"Bayside City Council"
"Hawthorn",3,"u",855000,"1/04/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn",2,"u",490000,"1/04/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn",2,"u",620000,"1/04/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn",2,"u",600000,"1/04/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Hawthorn",3,"u",975000,"1/04/2017","Southern Metropolitan",5.3,"Boroondara City Council"
"Heidelberg",2,"u",655000,"1/04/2017","Eastern Metropolitan",8.9,"Banyule City Council"
"Heidelberg",4,"h",1420000,"1/04/2017","Eastern Metropolitan",8.9,"Banyule City Council"
"Heidelberg Heights",3,"h",786000,"1/04/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Heidelberg Heights",3,"h",959000,"1/04/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Heidelberg West",3,"h",720000,"1/04/2017","Eastern Metropolitan",8.8,"Banyule City Council"
"Highett",3,"h",1322000,"1/04/2017","Southern Metropolitan",16,"Bayside City Council"
"Hillside",4,"h",612500,"1/04/2017","Western Metropolitan",18,"Brimbank City Council"
"Hillside",4,"h",630000,"1/04/2017","Western Metropolitan",18,"Brimbank City Council"
"Hoppers Crossing",4,"h",715000,"1/04/2017","Western Metropolitan",18.4,"Wyndham City Council"
"Hoppers Crossing",4,"h",686500,"1/04/2017","Western Metropolitan",18.4,"Wyndham City Council"
"Hughesdale",2,"h",1065000,"1/04/2017","Southern Metropolitan",12.3,"Monash City Council"
"Hughesdale",4,"h",1355000,"1/04/2017","Southern Metropolitan",12.3,"Monash City Council"
"Huntingdale",3,"h",1145000,"1/04/2017","Southern Metropolitan",12.3,"Monash City Council"
"Ivanhoe",2,"h",792000,"1/04/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe",3,"h",1440000,"1/04/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe",2,"u",660000,"1/04/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe",3,"h",1977000,"1/04/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe",3,"h",1840000,"1/04/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe",4,"h",1275000,"1/04/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Ivanhoe East",3,"h",1781000,"1/04/2017","Eastern Metropolitan",7.8,"Banyule City Council"
"Jacana",3,"h",575000,"1/04/2017","Northern Metropolitan",14,"Hume City Council"
"Jacana",3,"h",542000,"1/04/2017","Northern Metropolitan",14,"Hume City Council"
"Keilor Downs",3,"h",569000,"1/04/2017","Western Metropolitan",15.5,"Brimbank City Council"
"Keilor East",3,"h",950000,"1/04/2017","Western Metropolitan",11.7,"Brimbank City Council"
"Keilor East",4,"h",850000,"1/04/2017","Western Metropolitan",11.7,"Brimbank City Council"
"Keilor East",3,"h",756000,"1/04/2017","Western Metropolitan",11.7,"Brimbank City Council"
"Keilor East",3,"u",680000,"1/04/2017","Western Metropolitan",11.7,"Brimbank City Council"
"Kensington",1,"u",360000,"1/04/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kensington",1,"u",325000,"1/04/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kensington",4,"h",1103000,"1/04/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kensington",2,"h",901000,"1/04/2017","Northern Metropolitan",3.4,"Melbourne City Council"
"Kew",2,"u",653000,"1/04/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",3,"h",2000000,"1/04/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",4,"h",1610000,"1/04/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",4,"h",2315000,"1/04/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",3,"h",1050000,"1/04/2017","Southern Metropolitan",5.4,"Boroondara City Council"
"Kew",3,"h",2155000,"1/04/2017","Southern Metropolitan",5.4,"Boroondara City Council"
